m/z	SN	QualityFactor	Resolution	intensity	area
1011.584	33.561	72862.9	10324.6	2601.5	503.3
1033.563	2.804	618.5	8929.4	218.0	52.0
1045.511	108.081	90612.2	10588.9	8227.8	1638.2
1067.504	8.829	4878.0	8541.0	668.8	168.9
1101.450	3.563	279.6	4698.6	267.2	128.2
1103.449	2.365	132.6	5600.0	177.1	71.6
1135.554	2.209	96.9	893.1	151.6	401.4
1296.681	50.644	50139.6	11151.1	3629.9	1006.7
1318.659	2.737	235.9	10281.0	194.3	59.7
1338.822	9.341	5636.3	10869.5	672.7	198.9
1352.611	3.548	231.9	12680.0	250.3	65.8
1466.795	3.108	377.4	11168.1	207.7	70.2
1529.735	3.833	467.2	7574.8	247.0	130.1
1570.685	39.321	54203.9	12143.8	2454.8	862.9
1592.669	3.572	488.3	10417.3	219.3	92.7
1625.916	2.344	94.1	3524.1	141.6	180.5
1666.008	6.593	1350.0	9299.3	392.0	201.9
2112.013	3.405	667.0	4885.3	139.8	196.9
2132.910	7.083	1195.3	4900.5	284.5	409.2
2147.192	62.625	51569.3	12681.3	2522.3	1416.6
2163.188	2.591	219.0	8437.5	101.9	84.9
2169.183	4.207	670.1	10721.1	164.1	109.3
2185.155	2.792	510.6	15458.7	107.9	51.1
2196.865	2.399	283.8	4332.2	88.2	155.0
2203.119	6.178	770.0	17238.4	233.3	99.2
2211.105	62.991	41653.8	14431.7	2356.1	1207.3
2225.115	17.222	32088.1	14615.0	641.3	324.5
2233.088	42.670	98548.3	15561.3	1551.3	760.3
2247.090	9.311	1431.5	11415.7	334.8	220.7
2250.054	5.636	524.9	22408.6	206.0	71.8
2255.057	5.413	928.5	14954.7	196.3	101.1
2268.033	8.973	2240.1	12544.2	322.8	194.7
2271.032	5.132	585.2	16559.8	182.2	82.7
2283.168	19.750	19531.5	14372.5	686.0	378.1
2289.011	4.710	726.5	12659.8	163.1	99.6
2299.170	7.100	597.5	10714.3	243.1	174.2
2305.147	8.474	1702.3	10926.8	290.7	209.2
2321.097	2.404	121.5	5313.6	80.6	117.4
2324.947	2.159	59.4	10010.9	72.2	55.5
2720.277	2.151	94.3	11901.8	51.0	42.3
2807.309	2.280	89.2	9413.0	49.6	54.1
2896.178	3.544	282.4	4083.7	69.1	187.5
2918.227	6.666	566.6	5452.0	130.7	267.3
2932.590	58.944	28320.1	13521.7	1150.9	959.2
2948.583	7.521	1222.1	13995.6	146.4	118.2
2954.563	3.481	275.8	9107.6	67.1	82.6
2970.548	2.067	59.5	8360.2	39.1	52.7
2989.524	2.346	93.0	7680.0	43.8	65.4
3323.768	4.271	227.0	9377.8	60.3	88.6
3337.784	7.301	807.5	12630.3	101.9	112.9


